City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Nikolskoye,RU,2021-08-08 22:36:29,59.7035,30.7861,64.29,97,100,4.56,overcast clouds
1,Longyearbyen,SJ,2021-08-08 22:36:29,78.2186,15.6401,40.84,93,75,6.91,broken clouds
2,Bethel,US,2021-08-08 22:36:30,41.3712,-73.414,80.71,73,90,5.75,light rain
3,Shunyi,CN,2021-08-08 22:36:30,40.125,116.6453,69.75,94,20,11.18,light rain
4,Rikitea,PF,2021-08-08 22:36:30,-23.1203,-134.9692,74.52,75,1,12.21,clear sky
5,Khash,IR,2021-08-08 22:36:31,28.2211,61.2158,79.11,14,1,4.25,clear sky
6,Souillac,MU,2021-08-08 22:36:31,-20.5167,57.5167,68.36,100,75,4.61,light rain
7,Bluff,NZ,2021-08-08 22:36:32,-46.6,168.3333,39.79,78,96,14.83,overcast clouds
8,Otukpo,NG,2021-08-08 22:36:32,7.1913,8.1329,71.08,96,97,7.09,light rain
9,Thinadhoo,MV,2021-08-08 22:30:37,0.5333,72.9333,80.04,77,89,3.83,overcast clouds
10,Airai,TL,2021-08-08 22:30:38,-8.9266,125.4092,59.94,74,25,2.13,scattered clouds
11,Tasiilaq,GL,2021-08-08 22:30:38,65.6145,-37.6368,46.56,94,100,19.71,moderate rain
12,Cape Town,ZA,2021-08-08 22:30:39,-33.9258,18.4232,55.11,93,75,1.01,light rain
13,Vaini,TO,2021-08-08 22:30:39,-21.2,-175.2,73.56,78,75,2.3,broken clouds
14,Tra Vinh,VN,2021-08-08 22:30:39,9.9347,106.3453,78.58,91,33,7.58,scattered clouds
15,Ngunguru,NZ,2021-08-08 22:30:40,-35.6167,174.5,48.16,68,99,16.96,moderate rain
16,Talcahuano,CL,2021-08-08 22:30:15,-36.7167,-73.1167,49.68,71,0,8.05,clear sky
17,Ushuaia,AR,2021-08-08 22:30:40,-54.8,-68.3,42.46,61,40,9.22,scattered clouds
18,Castro,BR,2021-08-08 22:30:41,-24.7911,-50.0119,61.74,58,99,4.0,overcast clouds
19,Aklavik,CA,2021-08-08 22:30:41,68.2191,-135.0107,56.12,42,8,4.23,clear sky
20,Khatanga,RU,2021-08-08 22:30:42,71.9667,102.5,52.16,72,100,11.3,light rain
21,Kapaa,US,2021-08-08 22:30:42,22.0752,-159.319,86.32,64,40,3.0,scattered clouds
22,Talnakh,RU,2021-08-08 22:30:43,69.4865,88.3972,60.91,61,1,4.23,clear sky
23,Mackay,AU,2021-08-08 22:30:12,-21.15,149.2,68.04,77,75,11.5,broken clouds
24,Albany,US,2021-08-08 22:30:40,42.6001,-73.9662,84.85,58,22,5.88,few clouds
25,Camacha,PT,2021-08-08 22:30:44,33.0833,-16.3333,67.53,73,40,8.05,scattered clouds
26,Jamestown,US,2021-08-08 22:26:55,42.097,-79.2353,83.52,71,1,3.0,clear sky
27,Puerto Ayora,EC,2021-08-08 22:27:07,-0.7393,-90.3518,75.16,84,52,7.0,broken clouds
28,Hobart,AU,2021-08-08 22:26:51,-42.8794,147.3294,45.1,88,40,3.0,scattered clouds
29,Saint George,US,2021-08-08 22:27:26,37.1041,-113.5841,106.27,11,1,1.99,clear sky
30,Kavieng,PG,2021-08-08 22:27:19,-2.5744,150.7967,82.31,75,99,10.51,light rain
31,Mar Del Plata,AR,2021-08-08 22:30:28,-38.0023,-57.5575,50.02,71,0,9.22,clear sky
32,Vestmannaeyjar,IS,2021-08-08 22:30:45,63.4427,-20.2734,56.3,80,86,8.55,overcast clouds
33,Sarangarh,IN,2021-08-08 22:30:46,21.6,83.0833,79.88,77,78,4.79,broken clouds
34,Cidreira,BR,2021-08-08 22:30:46,-30.1811,-50.2056,60.22,91,1,10.33,clear sky
35,Ornskoldsvik,SE,2021-08-08 22:30:47,63.2909,18.7153,62.42,100,90,9.22,moderate rain
36,Tuktoyaktuk,CA,2021-08-08 22:30:47,69.4541,-133.0374,48.2,76,75,8.05,broken clouds
37,Lompoc,US,2021-08-08 22:30:48,34.6391,-120.4579,82.22,69,1,8.01,clear sky
38,Thompson,CA,2021-08-08 22:28:52,55.7435,-97.8558,69.96,73,40,9.22,smoke
39,Howard Springs,AU,2021-08-08 22:30:48,-12.497,131.047,67.91,78,3,5.91,clear sky
40,Arcata,US,2021-08-08 22:28:23,40.8665,-124.0828,83.68,73,40,1.01,scattered clouds
41,Chokurdakh,RU,2021-08-08 22:30:49,70.6333,147.9167,65.73,43,57,14.41,broken clouds
42,Kruisfontein,ZA,2021-08-08 22:30:49,-34.0033,24.7314,52.88,89,100,6.85,overcast clouds
43,Arlit,NE,2021-08-08 22:30:50,18.7369,7.3853,97.0,24,95,5.08,overcast clouds
44,Bredasdorp,ZA,2021-08-08 22:30:50,-34.5322,20.0403,53.28,87,100,13.8,moderate rain
45,Delcevo,MK,2021-08-08 22:30:51,41.9672,22.7694,66.02,51,0,1.23,clear sky
46,Cabo San Lucas,MX,2021-08-08 22:30:01,22.8909,-109.9124,93.61,70,40,11.5,scattered clouds
47,Blagoyevo,RU,2021-08-08 22:30:51,63.3667,47.9167,51.8,92,100,3.76,moderate rain
48,Galle,LK,2021-08-08 22:30:52,6.0367,80.217,77.85,88,95,9.86,overcast clouds
49,Severo-Kurilsk,RU,2021-08-08 22:30:52,50.6789,156.125,55.6,88,57,11.48,broken clouds
50,Dikson,RU,2021-08-08 22:30:53,73.5069,80.5464,42.42,95,1,6.71,clear sky
51,Saryg-Sep,RU,2021-08-08 22:30:53,51.5,95.6,52.21,90,36,3.11,scattered clouds
52,Araouane,ML,2021-08-08 22:30:54,18.9048,-3.5265,96.85,25,27,15.1,scattered clouds
53,Dunedin,NZ,2021-08-08 22:30:41,-45.8742,170.5036,41.81,72,86,3.0,overcast clouds
54,Tambo,PE,2021-08-08 22:30:54,-14.8,-73.9167,39.74,40,25,6.64,scattered clouds
55,Atuona,PF,2021-08-08 22:30:55,-9.8,-139.0333,77.77,79,23,21.03,light rain
56,Poya,NC,2021-08-08 22:30:55,-21.35,165.15,71.24,48,51,10.42,broken clouds
57,Butaritari,KI,2021-08-08 22:26:45,3.0707,172.7902,83.64,62,56,11.34,broken clouds
58,Timmins,CA,2021-08-08 22:30:13,48.4669,-81.3331,64.22,100,90,9.22,mist
59,Lagoa,PT,2021-08-08 22:30:56,39.05,-27.9833,71.67,87,11,19.44,few clouds
60,Punta Arenas,CL,2021-08-08 22:30:56,-53.15,-70.9167,42.91,70,90,18.41,overcast clouds
61,Hilo,US,2021-08-08 22:30:57,19.7297,-155.09,80.33,65,90,13.8,overcast clouds
62,Lubango,AO,2021-08-08 22:30:57,-14.9172,13.4925,57.79,39,28,3.96,scattered clouds
63,Port Alfred,ZA,2021-08-08 22:30:58,-33.5906,26.891,59.58,83,50,14.52,scattered clouds
64,Veraval,IN,2021-08-08 22:30:58,20.9,70.3667,81.18,78,100,8.5,overcast clouds
65,Barrow,US,2021-08-08 22:26:58,71.2906,-156.7887,39.22,88,90,10.36,overcast clouds
66,Kahului,US,2021-08-08 22:29:35,20.8947,-156.47,87.82,52,20,24.16,few clouds
67,Havoysund,NO,2021-08-08 22:28:29,70.9963,24.6622,67.08,66,52,11.01,broken clouds
68,Lorengau,PG,2021-08-08 22:30:59,-2.0226,147.2712,82.76,76,68,8.9,broken clouds
69,Buraydah,SA,2021-08-08 22:31:00,26.326,43.975,93.65,14,87,9.71,overcast clouds
70,Bridgetown,BB,2021-08-08 22:29:03,13.1,-59.6167,82.89,78,20,18.41,few clouds
71,Katubao,PH,2021-08-08 22:31:00,5.8892,124.8294,80.44,75,100,2.26,light rain
72,Saskylakh,RU,2021-08-08 22:31:01,71.9167,114.0833,60.44,64,100,6.98,overcast clouds
73,Mount Gambier,AU,2021-08-08 22:31:01,-37.8333,140.7667,46.31,93,90,8.05,overcast clouds
74,Sakakah,SA,2021-08-08 22:31:01,29.9697,40.2064,90.97,21,0,9.82,clear sky
75,Inuvik,CA,2021-08-08 22:31:02,68.3499,-133.7218,56.16,54,75,4.61,broken clouds
76,Sibenik,HR,2021-08-08 22:31:02,43.7272,15.9058,83.86,53,44,0.49,scattered clouds
77,Busselton,AU,2021-08-08 22:26:26,-33.65,115.3333,53.1,53,100,22.93,overcast clouds
78,Sulphur Springs,US,2021-08-08 22:31:03,33.1385,-95.6011,95.92,46,40,14.97,scattered clouds
79,Copacabana,CO,2021-08-08 22:26:09,6.3463,-75.5089,73.83,91,77,2.51,broken clouds
80,Ouro Branco,BR,2021-08-08 22:31:04,-20.5208,-43.6919,57.63,77,98,4.09,overcast clouds
81,Kodiak,US,2021-08-08 22:31:05,57.79,-152.4072,63.91,48,40,11.5,scattered clouds
82,Biak,ID,2021-08-08 22:31:05,-0.9131,122.8766,75.45,86,88,5.97,overcast clouds
83,Maniitsoq,GL,2021-08-08 22:31:05,65.4167,-52.9,42.37,81,49,0.51,scattered clouds
84,Piet Retief,ZA,2021-08-08 22:31:06,-27.0071,30.8132,48.18,27,4,5.64,clear sky
85,Ponta Do Sol,PT,2021-08-08 22:26:45,32.6667,-17.1,71.01,74,27,3.4,scattered clouds
86,Provideniya,RU,2021-08-08 22:31:07,64.3833,-173.3,46.51,76,75,11.18,broken clouds
87,Hofn,IS,2021-08-08 22:31:07,64.2539,-15.2082,55.9,76,15,2.19,few clouds
88,Bichura,RU,2021-08-08 22:31:08,50.5881,107.6022,55.45,82,32,3.33,scattered clouds
89,Hermanus,ZA,2021-08-08 22:31:08,-34.4187,19.2345,53.8,86,100,17.4,moderate rain
90,Sorland,NO,2021-08-08 22:31:09,67.667,12.6934,57.4,83,71,13.8,broken clouds
91,Adrar,MR,2021-08-08 22:31:09,20.5022,-10.0711,88.18,18,9,10.6,clear sky
92,Geraldton,AU,2021-08-08 22:31:10,-28.7667,114.6,63.01,82,40,12.66,light rain
93,Port Blair,IN,2021-08-08 22:31:10,11.6667,92.75,81.79,83,100,9.66,overcast clouds
94,Sur,OM,2021-08-08 22:31:10,22.5667,59.5289,86.94,60,10,10.13,clear sky
95,Dingle,PH,2021-08-08 22:31:11,10.9995,122.6711,77.63,89,100,1.7,light rain
96,East London,ZA,2021-08-08 22:30:33,-33.0153,27.9116,63.68,68,37,15.77,scattered clouds
97,Caxias,PT,2021-08-08 22:31:11,38.7031,-9.2767,65.59,74,20,11.99,few clouds
98,Nome,US,2021-08-08 22:27:21,64.5011,-165.4064,59.07,68,90,21.85,overcast clouds
99,Uyuni,BO,2021-08-08 22:31:12,-20.4597,-66.825,46.26,25,5,10.31,clear sky
100,Buin,CL,2021-08-08 22:31:12,-33.7333,-70.75,53.92,85,98,1.45,overcast clouds
101,Adelaide,AU,2021-08-08 22:27:59,-34.9333,138.6,53.42,66,0,1.99,clear sky
102,Ancud,CL,2021-08-08 22:26:25,-41.8697,-73.8203,47.73,77,14,2.59,few clouds
103,Gondar,ET,2021-08-08 22:31:13,12.6,37.4667,55.63,92,92,3.29,overcast clouds
104,Victoria,HK,2021-08-08 22:26:55,22.2855,114.1577,86.05,90,100,8.03,overcast clouds
105,Ahipara,NZ,2021-08-08 22:27:11,-35.1667,173.1667,49.78,76,94,17.36,light rain
106,Sitka,US,2021-08-08 22:28:18,57.0531,-135.33,62.49,72,90,12.66,overcast clouds
107,Bambous Virieux,MU,2021-08-08 22:31:14,-20.3428,57.7575,68.22,100,75,4.61,light rain
108,Hamilton,US,2021-08-08 22:31:15,39.1834,-84.5333,90.64,57,1,1.99,clear sky
109,Bilma,NE,2021-08-08 22:31:15,18.6853,12.9164,94.55,28,30,4.92,scattered clouds
110,Qaqortoq,GL,2021-08-08 22:27:10,60.7167,-46.0333,50.5,81,8,16.22,clear sky
111,El Carmen,CO,2021-08-08 22:31:16,8.5106,-73.4478,70.39,94,94,3.78,overcast clouds
112,Chuy,UY,2021-08-08 22:31:16,-33.6971,-53.4616,57.34,96,100,11.7,light rain
113,Duayaw Nkwanta,GH,2021-08-08 22:31:16,7.1724,-2.1028,70.81,97,99,4.59,overcast clouds
114,Port Hardy,CA,2021-08-08 22:26:52,50.6996,-127.4199,62.78,77,90,9.22,overcast clouds
115,Iqaluit,CA,2021-08-08 22:31:17,63.7506,-68.5145,42.53,93,90,5.75,light rain
116,Vallenar,CL,2021-08-08 22:31:18,-28.5708,-70.7581,53.02,57,0,3.49,clear sky
117,Batticaloa,LK,2021-08-08 22:31:18,7.7102,81.6924,78.67,81,100,3.0,overcast clouds
118,Hobyo,SO,2021-08-08 22:27:35,5.3505,48.5268,76.39,87,54,24.56,broken clouds
119,Hanting,CN,2021-08-08 22:31:19,36.7708,119.2108,75.96,63,100,1.07,light rain
120,Cabedelo,BR,2021-08-08 22:31:19,-6.9811,-34.8339,77.67,84,35,13.06,scattered clouds
121,Tay Ninh,VN,2021-08-08 22:31:20,11.3,106.1,78.28,92,77,5.26,broken clouds
122,Rena,NO,2021-08-08 22:31:20,61.1348,11.3641,52.83,90,56,1.36,broken clouds
123,Saint-Joseph,RE,2021-08-08 22:31:21,-21.3667,55.6167,66.56,80,15,4.97,few clouds
124,Kabanjahe,ID,2021-08-08 22:31:21,3.1001,98.4908,65.16,94,92,1.48,overcast clouds
125,Henties Bay,NA,2021-08-08 22:31:21,-22.116,14.2845,52.86,92,38,5.82,scattered clouds
126,Luderitz,NA,2021-08-08 22:31:22,-26.6481,15.1594,54.86,86,81,7.56,broken clouds
127,Hillsborough,US,2021-08-08 22:31:22,37.5741,-122.3794,94.98,68,20,12.66,few clouds
128,Nikolayevsk-Na-Amure,RU,2021-08-08 22:31:23,53.1406,140.73,59.77,59,52,3.44,broken clouds
129,Petropavlovsk-Kamchatskiy,RU,2021-08-08 22:31:23,53.0452,158.6483,59.59,72,75,2.24,broken clouds
130,Torbay,CA,2021-08-08 22:31:24,47.6666,-52.7314,56.75,91,90,18.41,light rain
131,Port Lincoln,AU,2021-08-08 22:26:36,-34.7333,135.8667,54.16,56,27,15.73,scattered clouds
132,Puri,IN,2021-08-08 22:31:25,19.8,85.85,82.92,80,100,17.65,overcast clouds
133,Marawi,PH,2021-08-08 22:31:25,7.9986,124.2928,66.65,92,100,1.68,overcast clouds
134,Istisu,AZ,2021-08-08 22:31:26,40.9457,48.0738,77.5,36,81,5.03,broken clouds
135,Cap Malheureux,MU,2021-08-08 22:31:26,-19.9842,57.6142,68.47,89,89,3.0,light rain
136,Mataura,NZ,2021-08-08 22:31:27,-46.1927,168.8643,39.47,92,89,5.37,overcast clouds
137,Manturovo,RU,2021-08-08 22:31:27,58.3353,44.7619,65.25,79,100,4.85,moderate rain
138,Chapais,CA,2021-08-08 22:31:28,49.7834,-74.8492,71.38,46,95,6.26,overcast clouds
139,Haines Junction,CA,2021-08-08 22:31:28,60.7522,-137.5108,62.55,51,100,2.3,overcast clouds
140,Salalah,OM,2021-08-08 22:31:29,17.0151,54.0924,77.09,100,90,2.3,light intensity drizzle
141,Samarai,PG,2021-08-08 22:27:47,-10.6167,150.6667,77.95,76,98,13.94,overcast clouds
142,Carnarvon,AU,2021-08-08 22:26:35,-24.8667,113.6333,66.27,85,90,8.05,overcast clouds
143,Humaita,BR,2021-08-08 22:31:30,-7.5061,-63.0208,88.63,32,70,1.48,broken clouds
144,Vostok,RU,2021-08-08 22:31:30,46.4856,135.8833,54.45,84,100,5.03,overcast clouds
145,Tigil,RU,2021-08-08 22:31:31,57.8,158.6667,58.93,56,23,11.16,few clouds
146,Arraial Do Cabo,BR,2021-08-08 22:31:31,-22.9661,-42.0278,69.55,82,9,25.52,clear sky
147,New Norfolk,AU,2021-08-08 22:26:42,-42.7826,147.0587,44.74,83,28,2.84,scattered clouds
148,Qaanaaq,GL,2021-08-08 22:31:32,77.484,-69.3632,40.14,73,19,3.18,few clouds
149,Evanston,US,2021-08-08 22:26:43,42.0411,-87.6901,91.4,58,40,5.01,scattered clouds
150,Kupang,ID,2021-08-08 22:31:32,-10.1667,123.5833,72.18,83,20,5.75,few clouds
151,Lerwick,GB,2021-08-08 22:27:34,60.1545,-1.1494,57.2,94,100,9.42,overcast clouds
152,Agua Verde,MX,2021-08-08 22:31:33,22.9,-106.05,92.12,67,17,10.74,few clouds
153,Mindelo,CV,2021-08-08 22:31:33,16.8901,-24.9804,80.15,78,75,3.44,broken clouds
154,Belogorsk,RU,2021-08-08 22:31:34,50.9158,128.4611,54.68,83,100,6.98,overcast clouds
155,Ilulissat,GL,2021-08-08 22:31:34,69.2167,-51.1,44.62,81,20,6.91,few clouds
156,Yellowknife,CA,2021-08-08 22:31:35,62.456,-114.3525,55.92,50,75,9.22,broken clouds
157,Moussoro,TD,2021-08-08 22:31:35,13.6408,16.4901,77.77,68,68,11.07,broken clouds
158,Constitucion,CL,2021-08-08 22:28:16,-35.3333,-72.4167,49.32,69,100,2.68,overcast clouds
159,Takoradi,GH,2021-08-08 22:31:36,4.8845,-1.7554,75.7,88,72,9.37,broken clouds
160,Kasukabe,JP,2021-08-08 22:31:36,35.9764,139.7536,86.04,65,97,8.88,light rain
161,Novopskov,UA,2021-08-08 22:31:36,49.5464,39.0899,73.85,66,89,1.52,overcast clouds
162,Tateyama,JP,2021-08-08 22:31:37,34.9833,139.8667,86.02,89,79,25.59,broken clouds
163,Upernavik,GL,2021-08-08 22:26:56,72.7868,-56.1549,41.14,86,100,4.16,overcast clouds
164,Cape Coast,GH,2021-08-08 22:31:38,5.1053,-1.2466,75.09,92,81,10.42,broken clouds
165,Shenjiamen,CN,2021-08-08 22:31:38,29.9576,122.298,79.12,80,62,5.08,broken clouds
166,Trincomalee,LK,2021-08-08 22:31:38,8.5711,81.2335,80.35,77,99,19.28,overcast clouds
167,San Cristobal,VE,2021-08-08 22:31:39,7.7669,-72.225,75.38,97,92,1.99,overcast clouds
168,Thiruvananthapuram,IN,2021-08-08 22:30:06,8.4833,76.9167,78.78,94,75,8.05,mist
169,Svetlogorsk,BY,2021-08-08 22:31:39,52.6333,29.7333,68.29,60,55,5.12,broken clouds
170,Whitehorse,CA,2021-08-08 22:30:14,60.7161,-135.0538,69.03,45,75,19.57,broken clouds
171,Yar-Sale,RU,2021-08-08 22:27:28,66.8333,70.8333,53.65,57,100,16.4,overcast clouds
172,Turukhansk,RU,2021-08-08 22:31:40,65.8167,87.9833,56.03,62,21,6.15,few clouds
173,Ulladulla,AU,2021-08-08 22:31:41,-35.35,150.4667,49.1,63,99,4.41,overcast clouds
174,Namatanai,PG,2021-08-08 22:31:41,-3.6667,152.4333,82.22,72,63,7.09,broken clouds
175,Kosmynino,RU,2021-08-08 22:31:42,57.5818,40.7643,62.08,82,55,4.07,broken clouds
176,Morgan City,US,2021-08-08 22:31:42,29.6994,-91.2068,91.0,70,20,10.36,few clouds
177,Lukulu,ZM,2021-08-08 22:31:43,-14.3707,23.242,60.13,30,0,6.91,clear sky
178,Odweyne,SO,2021-08-08 22:31:43,9.4092,45.064,77.18,47,66,12.06,broken clouds
179,Analipsis,GR,2021-08-08 22:31:44,35.3167,25.5667,82.94,56,0,11.77,clear sky
180,Asahikawa,JP,2021-08-08 22:31:44,43.7678,142.3703,65.41,82,75,5.75,broken clouds
181,Nchelenge,ZM,2021-08-08 22:31:44,-9.3451,28.734,65.53,45,0,4.7,clear sky
182,Katsuura,JP,2021-08-08 22:31:45,35.1333,140.3,86.11,86,85,24.74,overcast clouds
183,Raudeberg,NO,2021-08-08 22:31:45,61.9875,5.1352,58.19,78,7,4.07,clear sky
184,Namibe,AO,2021-08-08 22:31:46,-15.1961,12.1522,63.34,81,44,6.08,scattered clouds
185,Touros,BR,2021-08-08 22:31:46,-5.1989,-35.4608,77.9,81,35,15.79,scattered clouds
186,Sao Filipe,CV,2021-08-08 22:31:47,14.8961,-24.4956,79.02,85,28,3.53,scattered clouds
187,Pawa,PH,2021-08-08 22:31:47,13.1747,123.7328,80.76,84,94,3.15,overcast clouds
188,Ust-Kan,RU,2021-08-08 22:31:47,50.9276,84.761,52.21,81,85,3.58,overcast clouds
189,Grasse,FR,2021-08-08 22:31:48,43.6667,6.9167,68.2,37,0,2.3,clear sky
190,Port Hedland,AU,2021-08-08 22:31:48,-20.3167,118.5667,55.45,67,6,1.14,clear sky
191,Srednekolymsk,RU,2021-08-08 22:31:49,67.45,153.6833,66.65,42,15,4.81,few clouds
192,Huarmey,PE,2021-08-08 22:31:49,-10.0681,-78.1522,64.72,80,7,12.57,clear sky
193,Along,IN,2021-08-08 22:31:50,28.1667,94.7667,76.35,99,98,0.85,overcast clouds
194,Kaitangata,NZ,2021-08-08 22:31:50,-46.2817,169.8464,41.56,80,90,10.49,overcast clouds
195,Ribeira Grande,PT,2021-08-08 22:31:51,38.5167,-28.7,72.77,87,60,15.59,broken clouds
196,Faanui,PF,2021-08-08 22:31:51,-16.4833,-151.75,78.96,77,20,12.91,few clouds
197,Bandarbeyla,SO,2021-08-08 22:31:51,9.4942,50.8122,76.33,83,61,27.07,broken clouds
198,Tuatapere,NZ,2021-08-08 22:31:52,-46.1333,167.6833,39.81,93,98,4.9,overcast clouds
199,Lebu,CL,2021-08-08 22:31:52,-37.6167,-73.65,44.82,82,5,5.86,clear sky
200,Stepnoye,RU,2021-08-08 22:31:53,51.4,46.8667,76.68,34,97,9.84,overcast clouds
201,Klaksvik,FO,2021-08-08 22:27:41,62.2266,-6.589,50.92,94,95,6.11,overcast clouds
202,Artigas,UY,2021-08-08 22:31:53,-30.4,-56.4667,70.41,65,32,8.37,scattered clouds
203,Kisangani,CD,2021-08-08 22:31:54,0.5167,25.2,70.7,78,24,0.56,few clouds
204,Preobrazheniye,RU,2021-08-08 22:26:58,42.9019,133.9064,66.18,76,100,14.45,overcast clouds
205,Moree,AU,2021-08-08 22:31:54,-29.4667,149.85,50.02,87,75,9.22,broken clouds
206,Pisco,PE,2021-08-08 22:31:55,-13.7,-76.2167,64.45,72,40,16.11,scattered clouds
207,Husavik,IS,2021-08-08 22:31:55,66.0449,-17.3389,53.51,86,38,2.35,scattered clouds
208,Yulara,AU,2021-08-08 22:31:56,-25.2406,130.9889,37.24,56,0,5.75,clear sky
209,Plymouth,US,2021-08-08 22:31:56,41.8334,-70.8328,80.62,79,1,4.61,clear sky
210,Hailar,CN,2021-08-08 22:31:56,49.2,119.7,63.0,90,100,8.01,overcast clouds
211,Olds,CA,2021-08-08 22:29:15,51.7834,-114.102,64.63,45,96,9.22,overcast clouds
212,Hithadhoo,MV,2021-08-08 22:31:57,-0.6,73.0833,79.81,77,99,3.38,overcast clouds
213,Alofi,NU,2021-08-08 22:31:57,-19.0595,-169.9187,76.89,88,100,9.22,light rain
214,Gotsu,JP,2021-08-08 22:31:58,35.0,132.2167,75.85,97,100,40.06,overcast clouds
215,Itoman,JP,2021-08-08 22:31:58,26.1247,127.6694,80.98,96,75,11.5,broken clouds
216,Aromashevo,RU,2021-08-08 22:31:59,56.8602,68.6375,60.08,96,47,8.1,scattered clouds
217,Beloha,MG,2021-08-08 22:27:37,-25.1667,45.05,61.27,90,0,5.73,clear sky
218,Labrea,BR,2021-08-08 22:32:00,-7.2586,-64.7981,83.68,36,23,1.81,few clouds
219,Siena,IT,2021-08-08 22:32:00,43.2167,11.4,73.96,70,5,2.01,clear sky
220,Naze,JP,2021-08-08 22:32:00,28.3667,129.4833,79.72,82,7,11.59,clear sky
